"EmployeeNumber","Attrition","Age","Department","JobRole","Gender","MaritalStatus","BusinessTravel","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","AgeBand","TenureBand","IncomeBand","DistanceBand","PromotionWaitBand","AttritionFlag"
1609,"No",30,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",7,3,"Medical",2,2,1,2,2141,1,"No",12,3,2,1,6,3,2,6,4,1,1,"25-34","6-10 years","Under 3000","6-10","0-1 years",0
1611,"No",45,"Research & Development","Laboratory Technician","Female","Single","Travel_Rarely",5,5,"Medical",3,1,2,1,5769,1,"Yes",14,3,1,0,10,3,3,10,7,1,4,"45-54","6-10 years","5000-6999","1-5","0-1 years",0
1612,"No",45,"Sales","Sales Executive","Male","Married","Non-Travel",26,3,"Marketing",1,2,2,1,4385,1,"No",15,3,1,1,10,2,3,10,7,4,5,"45-54","6-10 years","3000-4999","21+","4-5 years",0
1613,"No",31,"Sales","Sales Executive","Male","Single","Travel_Frequently",2,4,"Other",4,3,2,1,5332,7,"No",13,3,4,0,10,3,3,5,2,0,3,"25-34","3-5 years","5000-6999","1-5","0-1 years",0
1614,"No",36,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",12,4,"Life Sciences",3,3,2,3,4663,9,"Yes",12,3,2,2,7,2,3,3,2,1,1,"35-44","3-5 years","3000-4999","11-20","0-1 years",0
1615,"No",34,"Research & Development","Manufacturing Director","Male","Divorced","Travel_Frequently",10,4,"Life Sciences",3,4,2,4,4724,1,"No",13,3,1,1,9,3,3,9,7,7,2,"25-34","6-10 years","3000-4999","6-10","6+ years",0
1617,"No",49,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",25,4,"Life Sciences",3,3,1,1,3211,1,"No",14,3,4,1,10,3,2,9,6,1,4,"45-54","6-10 years","3000-4999","21+","0-1 years",0
1618,"No",39,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",10,5,"Medical",2,3,2,1,5377,2,"No",13,3,4,3,10,3,3,7,7,7,7,"35-44","6-10 years","5000-6999","6-10","6+ years",0
1619,"No",27,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",19,3,"Other",4,2,1,1,4066,1,"No",11,3,1,2,7,3,3,7,7,0,7,"25-34","6-10 years","3000-4999","11-20","0-1 years",0
1621,"No",35,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",18,5,"Life Sciences",2,4,2,1,5208,1,"No",11,3,4,0,16,2,3,16,15,1,10,"35-44","10+ years","5000-6999","11-20","0-1 years",0
1622,"No",28,"Research & Development","Manufacturing Director","Female","Divorced","Travel_Rarely",27,3,"Medical",2,1,2,1,4877,0,"No",21,4,2,1,6,5,2,5,3,0,0,"25-34","3-5 years","3000-4999","21+","0-1 years",0
1623,"No",21,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",5,1,"Medical",3,3,1,4,3117,1,"No",18,3,3,0,3,2,3,2,2,2,2,"Under 25","1-2 years","3000-4999","1-5","2-3 years",0
1624,"Yes",18,"Sales","Sales Representative","Female","Single","Travel_Frequently",3,2,"Medical",2,3,1,4,1569,1,"Yes",12,3,3,0,0,2,4,0,0,0,0,"Under 25","Under 1 year","Under 3000","1-5","0-1 years",1
1625,"No",47,"Human Resources","Manager","Female","Married","Travel_Rarely",26,4,"Life Sciences",4,3,5,3,19658,3,"No",11,3,3,1,27,2,3,5,2,1,0,"45-54","3-5 years","10000+","21+","0-1 years",0
1627,"No",39,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",3,2,"Medical",3,2,2,3,3069,0,"No",15,3,4,1,11,3,3,10,8,0,7,"35-44","6-10 years","3000-4999","1-5","0-1 years",0
1628,"No",40,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",15,3,"Life Sciences",1,2,3,3,10435,1,"No",13,3,4,2,18,2,3,18,15,14,12,"35-44","10+ years","10000+","11-20","6+ years",0
1630,"No",35,"Research & Development","Healthcare Representative","Female","Married","Non-Travel",8,4,"Life Sciences",3,3,2,3,4148,1,"No",12,3,4,1,15,5,3,14,11,2,9,"35-44","10+ years","3000-4999","6-10","2-3 years",0
1631,"No",37,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",19,3,"Life Sciences",3,3,2,3,5768,3,"No",17,3,1,3,9,2,2,4,3,0,2,"35-44","3-5 years","5000-6999","11-20","0-1 years",0
1633,"No",39,"Research & Development","Manufacturing Director","Female","Single","Travel_Frequently",4,3,"Medical",1,3,2,3,5042,0,"No",13,3,4,0,10,2,1,9,2,3,8,"35-44","6-10 years","5000-6999","1-5","2-3 years",0
1635,"No",45,"Research & Development","Manufacturing Director","Female","Divorced","Travel_Rarely",2,2,"Other",4,2,2,4,5770,1,"No",19,3,1,2,10,3,3,10,7,3,9,"45-54","6-10 years","5000-6999","1-5","2-3 years",0
1638,"No",38,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",2,2,"Medical",4,2,3,3,7756,3,"Yes",19,3,4,1,10,6,4,5,4,0,2,"35-44","3-5 years","7000-9999","1-5","0-1 years",0
1639,"Yes",35,"Sales","Sales Executive","Male","Married","Travel_Rarely",10,3,"Medical",4,2,3,1,10306,9,"No",17,3,3,0,15,3,3,13,12,6,0,"35-44","10+ years","10000+","6-10","6+ years",1
1640,"No",37,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",10,3,"Medical",2,3,1,2,3936,1,"No",11,3,1,1,8,2,1,8,4,7,7,"35-44","6-10 years","3000-4999","6-10","6+ years",0
1641,"No",40,"Research & Development","Manufacturing Director","Female","Single","Travel_Rarely",16,3,"Life Sciences",3,3,3,4,7945,6,"Yes",15,3,4,0,18,2,2,4,2,3,3,"35-44","3-5 years","7000-9999","11-20","2-3 years",0
1642,"No",44,"Human Resources","Human Resources","Male","Married","Travel_Frequently",1,5,"Human Resources",1,3,2,4,5743,4,"Yes",11,3,3,0,14,3,3,10,7,0,2,"35-44","6-10 years","5000-6999","1-5","0-1 years",0
1644,"No",48,"Research & Development","Manager","Male","Married","Travel_Frequently",4,5,"Medical",3,2,4,4,15202,2,"No",25,4,2,1,23,3,3,2,2,2,2,"45-54","1-2 years","10000+","1-5","2-3 years",0
1645,"Yes",35,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",15,2,"Medical",1,1,2,4,5440,6,"Yes",14,3,4,2,7,2,2,2,2,2,2,"35-44","1-2 years","5000-6999","11-20","2-3 years",1
1646,"No",24,"Research & Development","Research Scientist","Female","Single","Travel_Frequently",2,1,"Technical Degree",1,3,1,4,3760,1,"Yes",13,3,3,0,6,2,3,6,3,1,3,"Under 25","6-10 years","3000-4999","1-5","0-1 years",0
1647,"No",27,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",8,3,"Medical",2,4,1,3,3517,7,"No",17,3,1,0,5,0,3,3,2,0,2,"25-34","3-5 years","3000-4999","6-10","0-1 years",0
1648,"No",27,"Research & Development","Research Scientist","Male","Single","Travel_Frequently",2,3,"Medical",4,3,1,4,2580,2,"No",13,3,3,0,6,0,2,4,2,1,2,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
1649,"Yes",40,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",7,3,"Life Sciences",1,3,1,1,2166,3,"Yes",14,3,2,0,10,3,1,4,2,0,3,"35-44","3-5 years","Under 3000","6-10","0-1 years",1
1650,"No",29,"Sales","Sales Executive","Male","Single","Travel_Rarely",10,3,"Medical",3,2,2,3,5869,9,"No",11,3,3,0,8,2,3,5,2,1,4,"25-34","3-5 years","5000-6999","6-10","0-1 years",0
1651,"No",36,"Research & Development","Healthcare Representative","Female","Married","Travel_Rarely",5,4,"Life Sciences",2,3,3,1,8008,4,"No",12,3,3,2,9,6,3,3,2,0,2,"35-44","3-5 years","7000-9999","1-5","0-1 years",0
1653,"No",25,"Research & Development","Manufacturing Director","Male","Divorced","Travel_Frequently",2,1,"Life Sciences",4,4,2,3,5206,1,"No",17,3,3,2,7,6,3,7,7,0,7,"25-34","6-10 years","5000-6999","1-5","0-1 years",0
1654,"No",39,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",12,3,"Medical",4,3,2,2,5295,4,"No",21,4,3,0,7,3,3,5,4,1,0,"35-44","3-5 years","5000-6999","11-20","0-1 years",0
1655,"No",49,"Research & Development","Research Director","Female","Married","Travel_Rarely",22,4,"Other",1,3,4,2,16413,3,"No",16,3,2,2,27,2,3,4,2,1,2,"45-54","3-5 years","10000+","21+","0-1 years",0
1656,"No",50,"Research & Development","Research Director","Female","Divorced","Travel_Rarely",17,5,"Life Sciences",4,2,3,1,13269,5,"No",15,3,3,3,19,3,3,14,11,1,11,"45-54","10+ years","10000+","11-20","0-1 years",0
1657,"No",20,"Sales","Sales Representative","Female","Single","Travel_Rarely",2,3,"Medical",3,3,1,3,2783,1,"No",19,3,1,0,2,3,3,2,2,2,2,"Under 25","1-2 years","Under 3000","1-5","2-3 years",0
1658,"No",34,"Research & Development","Research Scientist","Female","Divorced","Travel_Rarely",3,3,"Life Sciences",4,3,2,2,5433,1,"No",12,3,3,1,11,2,3,11,8,7,9,"25-34","10+ years","5000-6999","1-5","6+ years",0
1659,"No",36,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",7,3,"Life Sciences",1,3,1,2,2013,2,"No",11,3,3,0,15,4,3,4,3,1,3,"35-44","3-5 years","Under 3000","6-10","0-1 years",0
1661,"No",49,"Research & Development","Healthcare Representative","Female","Married","Travel_Rarely",6,1,"Life Sciences",3,2,4,3,13966,2,"Yes",19,3,2,1,30,3,3,15,11,2,12,"45-54","10+ years","10000+","6-10","2-3 years",0
1662,"No",36,"Research & Development","Manufacturing Director","Female","Married","Non-Travel",1,4,"Medical",4,2,2,3,4374,0,"No",15,3,3,0,4,6,3,3,2,1,2,"35-44","3-5 years","3000-4999","1-5","0-1 years",0
1664,"No",36,"Research & Development","Healthcare Representative","Male","Divorced","Travel_Rarely",3,2,"Life Sciences",4,4,2,1,6842,6,"No",20,4,1,1,13,3,3,5,4,0,4,"35-44","3-5 years","5000-6999","1-5","0-1 years",0
1665,"No",54,"Research & Development","Manager","Female","Married","Travel_Rarely",22,5,"Medical",2,3,4,3,17426,3,"No",25,4,3,1,36,6,3,10,8,4,7,"45-54","6-10 years","10000+","21+","4-5 years",0
1666,"No",43,"Research & Development","Research Director","Male","Married","Travel_Rarely",15,2,"Life Sciences",3,2,4,3,17603,1,"No",24,4,1,1,14,3,3,14,10,6,11,"35-44","10+ years","10000+","11-20","6+ years",0
1667,"Yes",35,"Sales","Sales Executive","Male","Single","Travel_Frequently",12,4,"Other",4,3,2,4,4581,3,"Yes",24,4,1,0,13,2,4,11,9,6,7,"35-44","10+ years","3000-4999","11-20","6+ years",1
1668,"No",38,"Research & Development","Research Scientist","Male","Married","Travel_Frequently",1,3,"Life Sciences",4,3,2,4,4735,7,"No",15,3,4,2,19,4,4,13,11,2,9,"35-44","10+ years","3000-4999","1-5","2-3 years",0
1669,"No",29,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",5,3,"Medical",1,2,2,2,4187,1,"Yes",13,3,2,1,10,3,2,10,0,0,9,"25-34","6-10 years","3000-4999","1-5","0-1 years",0
1670,"No",33,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",2,4,"Medical",4,3,2,4,5505,1,"No",14,3,3,2,6,5,3,6,2,0,4,"25-34","6-10 years","5000-6999","1-5","0-1 years",0
1671,"No",32,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",2,3,"Medical",4,3,2,2,5470,0,"No",13,3,3,2,10,4,2,9,5,1,6,"25-34","6-10 years","5000-6999","1-5","0-1 years",0
1673,"No",31,"Sales","Sales Executive","Female","Married","Travel_Rarely",5,4,"Life Sciences",1,3,2,4,5476,1,"No",11,3,1,2,10,2,3,10,0,0,2,"25-34","6-10 years","5000-6999","1-5","0-1 years",0
1674,"No",49,"Research & Development","Laboratory Technician","Female","Divorced","Travel_Rarely",16,3,"Medical",4,3,1,1,2587,4,"Yes",16,3,2,1,17,2,2,2,2,2,2,"45-54","1-2 years","Under 3000","11-20","2-3 years",0
1675,"No",38,"Research & Development","Laboratory Technician","Female","Single","Travel_Frequently",2,3,"Medical",4,2,1,2,2440,1,"No",22,4,2,0,4,3,3,4,3,3,3,"35-44","3-5 years","Under 3000","1-5","2-3 years",0
1676,"No",47,"Sales","Manager","Female","Divorced","Travel_Rarely",2,4,"Life Sciences",2,4,4,2,15972,6,"No",14,3,3,3,29,2,3,3,2,1,2,"45-54","3-5 years","10000+","1-5","0-1 years",0
1677,"No",49,"Research & Development","Manager","Male","Single","Travel_Rarely",1,3,"Life Sciences",3,3,4,3,15379,4,"No",14,3,1,0,23,2,3,8,7,0,0,"45-54","6-10 years","10000+","1-5","0-1 years",0
1678,"No",41,"Sales","Sales Executive","Male","Single","Travel_Rarely",23,2,"Life Sciences",4,3,3,3,7082,3,"Yes",16,3,4,0,21,2,3,2,0,0,2,"35-44","1-2 years","7000-9999","21+","0-1 years",0
1680,"No",20,"Sales","Sales Representative","Male","Single","Travel_Rarely",9,1,"Life Sciences",4,3,1,1,2728,1,"No",11,3,1,0,2,3,3,2,2,0,2,"Under 25","1-2 years","Under 3000","6-10","0-1 years",0
1681,"No",33,"Sales","Sales Executive","Female","Divorced","Non-Travel",16,3,"Life Sciences",3,3,2,4,5368,1,"Yes",25,4,3,1,7,2,3,6,5,1,2,"25-34","6-10 years","5000-6999","11-20","0-1 years",0
1682,"No",36,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",26,4,"Life Sciences",1,3,2,3,5347,6,"No",14,3,2,2,10,2,2,3,2,0,2,"35-44","3-5 years","5000-6999","21+","0-1 years",0
1683,"No",44,"Human Resources","Human Resources","Female","Divorced","Travel_Rarely",1,3,"Life Sciences",3,3,1,4,3195,4,"Yes",18,3,1,3,8,2,3,2,2,2,2,"35-44","1-2 years","3000-4999","1-5","2-3 years",0
1684,"Yes",23,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",8,1,"Medical",4,2,1,3,3989,1,"Yes",11,3,1,0,5,2,3,5,4,1,2,"Under 25","3-5 years","3000-4999","6-10","0-1 years",1
1687,"No",38,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",4,2,"Medical",4,3,1,3,3306,7,"No",19,3,4,1,7,5,2,0,0,0,0,"35-44","Under 1 year","3000-4999","1-5","0-1 years",0
1689,"No",53,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",24,4,"Medical",2,4,3,4,7005,3,"No",15,3,3,0,11,2,3,4,3,1,2,"45-54","3-5 years","7000-9999","21+","0-1 years",0
1691,"Yes",48,"Sales","Sales Representative","Female","Married","Travel_Frequently",7,2,"Medical",4,3,1,3,2655,2,"Yes",11,3,3,2,19,3,3,9,7,7,7,"45-54","6-10 years","Under 3000","6-10","6+ years",1
1692,"Yes",32,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",2,4,"Life Sciences",4,3,1,2,1393,1,"No",12,3,1,0,1,2,3,1,0,0,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",1
1693,"No",26,"Research & Development","Laboratory Technician","Male","Single","Non-Travel",7,3,"Medical",4,3,1,4,2570,1,"No",20,4,3,0,7,5,3,7,7,5,7,"25-34","6-10 years","Under 3000","6-10","4-5 years",0
1694,"No",55,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",22,3,"Technical Degree",1,2,1,2,3537,5,"No",12,3,4,1,8,1,3,4,2,1,2,"55+","3-5 years","3000-4999","21+","0-1 years",0
1696,"No",34,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",5,2,"Medical",2,2,2,4,3986,1,"No",14,3,3,1,15,3,4,15,10,4,13,"25-34","10+ years","3000-4999","1-5","4-5 years",0
1697,"No",60,"Research & Development","Healthcare Representative","Male","Divorced","Travel_Rarely",1,4,"Medical",3,1,3,4,10883,3,"No",20,4,3,1,19,2,4,1,0,0,0,"55+","1-2 years","10000+","1-5","0-1 years",0
1698,"No",33,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",21,3,"Medical",2,4,1,2,2028,1,"No",18,3,4,3,14,6,3,14,11,2,13,"25-34","10+ years","Under 3000","21+","2-3 years",0
1700,"No",37,"Sales","Sales Executive","Male","Divorced","Travel_Frequently",1,4,"Medical",3,1,2,4,9525,1,"No",14,3,3,2,6,2,2,6,3,1,3,"35-44","6-10 years","7000-9999","1-5","0-1 years",0
1701,"No",34,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",19,3,"Life Sciences",2,2,1,4,2929,1,"No",12,3,2,0,10,3,3,10,9,8,7,"25-34","6-10 years","Under 3000","11-20","6+ years",0
1702,"Yes",23,"Sales","Sales Representative","Male","Divorced","Travel_Rarely",7,3,"Life Sciences",3,3,1,4,2275,1,"Yes",21,4,2,1,3,2,3,3,2,0,2,"Under 25","3-5 years","Under 3000","6-10","0-1 years",1
1703,"No",44,"Research & Development","Healthcare Representative","Female","Married","Travel_Rarely",2,3,"Life Sciences",3,4,3,4,7879,1,"Yes",19,3,2,1,9,2,3,8,7,6,7,"35-44","6-10 years","7000-9999","1-5","6+ years",0
1704,"No",35,"Research & Development","Research Scientist","Male","Single","Travel_Frequently",2,4,"Medical",1,2,1,4,4930,0,"Yes",14,3,3,0,6,2,4,5,4,1,4,"35-44","3-5 years","3000-4999","1-5","0-1 years",0
1706,"No",43,"Sales","Sales Executive","Male","Married","Travel_Rarely",2,3,"Medical",4,3,2,4,7847,1,"Yes",17,3,1,1,10,3,3,10,9,8,8,"35-44","6-10 years","7000-9999","1-5","6+ years",0
1707,"No",24,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",9,3,"Medical",3,4,1,3,4401,1,"No",16,3,4,1,5,1,3,5,3,0,4,"Under 25","3-5 years","3000-4999","6-10","0-1 years",0
1708,"No",41,"Sales","Sales Executive","Male","Single","Travel_Rarely",6,3,"Marketing",4,3,3,3,9241,1,"No",12,3,2,0,10,3,3,10,8,8,7,"35-44","6-10 years","7000-9999","6-10","6+ years",0
1709,"No",29,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",9,4,"Medical",4,3,1,3,2974,9,"No",17,3,3,1,9,2,3,5,3,1,2,"25-34","3-5 years","Under 3000","6-10","0-1 years",0
1710,"No",36,"Sales","Sales Representative","Female","Single","Travel_Rarely",2,4,"Life Sciences",3,3,2,4,4502,3,"No",15,3,3,0,17,2,2,13,7,6,7,"35-44","10+ years","3000-4999","1-5","6+ years",0
1712,"No",45,"Research & Development","Healthcare Representative","Male","Married","Non-Travel",1,1,"Life Sciences",3,2,3,3,10748,3,"No",23,4,4,1,25,3,2,23,15,14,4,"45-54","10+ years","10000+","1-5","6+ years",0
1714,"Yes",24,"Human Resources","Human Resources","Male","Married","Travel_Rarely",22,1,"Human Resources",4,1,1,3,1555,1,"No",11,3,3,1,1,2,3,1,0,0,0,"Under 25","1-2 years","Under 3000","21+","0-1 years",1
1716,"Yes",47,"Sales","Sales Executive","Male","Married","Travel_Frequently",9,3,"Life Sciences",3,1,4,3,12936,7,"No",11,3,3,0,25,3,1,23,5,14,10,"45-54","10+ years","10000+","6-10","6+ years",1
1718,"No",26,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",17,4,"Medical",4,1,1,3,2305,1,"No",15,3,3,3,3,3,4,3,2,0,2,"25-34","3-5 years","Under 3000","11-20","0-1 years",0
1719,"No",45,"Research & Development","Research Director","Female","Single","Travel_Rarely",28,2,"Technical Degree",4,2,4,2,16704,1,"No",11,3,3,0,21,2,3,21,6,8,6,"45-54","10+ years","10000+","21+","6+ years",0
1720,"No",32,"Research & Development","Research Scientist","Male","Married","Travel_Frequently",10,3,"Life Sciences",1,3,1,3,3433,6,"No",13,3,1,1,10,3,2,5,2,1,3,"25-34","3-5 years","3000-4999","6-10","0-1 years",0
1721,"No",31,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",2,4,"Life Sciences",2,3,1,3,3477,1,"No",14,3,4,1,6,2,4,5,2,0,3,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
1722,"No",41,"Human Resources","Human Resources","Male","Married","Non-Travel",4,3,"Human Resources",3,1,2,2,6430,6,"No",19,3,2,1,10,4,3,3,2,1,2,"35-44","3-5 years","5000-6999","1-5","0-1 years",0
1724,"No",40,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",8,2,"Life Sciences",2,3,2,1,6516,2,"Yes",16,3,2,1,18,3,3,1,0,0,0,"35-44","1-2 years","5000-6999","6-10","0-1 years",0
1725,"No",24,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",29,1,"Medical",2,3,1,1,3907,1,"No",13,3,2,3,6,2,4,6,2,1,2,"Under 25","6-10 years","3000-4999","21+","0-1 years",0
1727,"No",46,"Research & Development","Healthcare Representative","Male","Single","Travel_Rarely",13,4,"Life Sciences",3,3,2,2,5562,6,"No",14,3,4,0,19,3,3,10,7,0,9,"45-54","6-10 years","5000-6999","11-20","0-1 years",0
1728,"No",35,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",27,4,"Life Sciences",4,3,2,3,6883,2,"No",16,3,2,1,17,3,3,7,7,0,7,"35-44","6-10 years","5000-6999","21+","0-1 years",0
1729,"No",30,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",16,1,"Life Sciences",2,3,1,4,2862,1,"No",12,3,2,1,10,2,2,10,0,0,8,"25-34","6-10 years","Under 3000","11-20","0-1 years",0
1731,"No",47,"Sales","Sales Executive","Male","Married","Non-Travel",2,4,"Marketing",3,3,2,2,4978,7,"No",11,3,4,1,4,3,1,1,0,0,0,"45-54","1-2 years","3000-4999","1-5","0-1 years",0
1732,"No",46,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",2,3,"Life Sciences",3,3,3,4,10368,4,"Yes",12,3,2,1,13,5,2,10,6,0,3,"45-54","6-10 years","10000+","1-5","0-1 years",0
1733,"Yes",36,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",13,5,"Marketing",2,2,2,1,6134,5,"Yes",13,3,2,3,16,3,3,2,2,2,2,"35-44","1-2 years","5000-6999","11-20","2-3 years",1
1734,"Yes",32,"Sales","Sales Executive","Male","Single","Travel_Rarely",1,2,"Life Sciences",1,1,2,2,6735,6,"No",15,3,2,0,10,2,3,0,0,0,0,"25-34","Under 1 year","5000-6999","1-5","0-1 years",1
1735,"No",23,"Research & Development","Laboratory Technician","Female","Single","Travel_Rarely",4,1,"Medical",3,3,1,2,3295,1,"No",13,3,3,0,3,3,1,3,2,1,2,"Under 25","3-5 years","3000-4999","1-5","0-1 years",0
1736,"No",31,"Research & Development","Manufacturing Director","Female","Single","Travel_Frequently",24,1,"Technical Degree",4,3,2,4,5238,2,"No",20,4,4,0,9,3,2,5,4,1,4,"25-34","3-5 years","5000-6999","21+","0-1 years",0
1737,"No",39,"Research & Development","Laboratory Technician","Male","Married","Non-Travel",1,3,"Life Sciences",4,3,2,4,6472,1,"Yes",15,3,4,1,9,2,3,9,8,5,8,"35-44","6-10 years","5000-6999","1-5","4-5 years",0
1739,"No",32,"Sales","Sales Executive","Male","Married","Travel_Rarely",19,3,"Life Sciences",4,1,3,3,9610,3,"No",13,3,3,1,10,2,1,4,3,0,2,"25-34","3-5 years","7000-9999","11-20","0-1 years",0
1740,"No",40,"Sales","Manager","Male","Single","Travel_Rarely",7,4,"Medical",2,3,5,2,19833,1,"No",14,3,2,0,21,3,2,21,8,12,8,"35-44","10+ years","10000+","6-10","6+ years",0
1744,"No",45,"Human Resources","Human Resources","Female","Married","Travel_Rarely",4,3,"Life Sciences",3,1,3,3,9756,4,"No",21,4,3,2,9,2,4,5,0,0,3,"45-54","3-5 years","7000-9999","1-5","0-1 years",0
1745,"No",30,"Research & Development","Research Scientist","Female","Single","Travel_Frequently",2,4,"Technical Degree",4,2,1,1,4968,0,"No",16,3,4,0,10,2,3,9,7,0,7,"25-34","6-10 years","3000-4999","1-5","0-1 years",0
1746,"No",24,"Human Resources","Human Resources","Male","Married","Travel_Frequently",10,3,"Medical",1,3,1,4,2145,0,"No",14,3,4,1,3,2,3,2,2,2,1,"Under 25","1-2 years","Under 3000","6-10","2-3 years",0
1747,"Yes",30,"Human Resources","Human Resources","Female","Divorced","Travel_Frequently",8,3,"Human Resources",3,2,1,4,2180,6,"No",11,3,3,1,6,0,2,4,2,1,2,"25-34","3-5 years","Under 3000","6-10","0-1 years",1
1749,"No",31,"Sales","Sales Executive","Male","Married","Travel_Rarely",5,3,"Technical Degree",1,3,2,3,8346,1,"No",19,3,3,1,6,3,3,5,2,0,2,"25-34","3-5 years","7000-9999","1-5","0-1 years",0
1751,"No",27,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",8,3,"Medical",3,3,1,4,3445,1,"No",11,3,3,0,6,5,2,6,2,1,4,"25-34","6-10 years","3000-4999","6-10","0-1 years",0
1752,"Yes",29,"Sales","Sales Representative","Female","Single","Travel_Rarely",9,3,"Marketing",2,1,1,2,2760,1,"No",13,3,3,0,2,3,3,2,2,2,2,"25-34","1-2 years","Under 3000","6-10","2-3 years",1
1753,"No",29,"Research & Development","Healthcare Representative","Male","Single","Travel_Frequently",1,3,"Life Sciences",4,4,2,3,6294,8,"Yes",12,3,4,0,10,5,4,3,2,0,2,"25-34","3-5 years","5000-6999","1-5","0-1 years",0
1754,"No",30,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",15,2,"Marketing",3,2,3,1,7140,2,"No",11,3,1,1,12,2,3,7,7,1,7,"25-34","6-10 years","7000-9999","11-20","0-1 years",0
1755,"No",34,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",2,4,"Medical",4,4,1,4,2932,0,"Yes",14,3,1,3,6,3,3,5,0,1,2,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
1756,"No",33,"Sales","Sales Executive","Female","Single","Non-Travel",2,3,"Marketing",4,3,2,2,5147,8,"No",15,3,4,0,13,2,2,11,7,1,7,"25-34","10+ years","5000-6999","1-5","0-1 years",0
1757,"No",49,"Sales","Sales Executive","Female","Single","Travel_Rarely",11,4,"Marketing",4,3,2,4,4507,3,"No",12,3,3,0,8,1,4,5,1,0,4,"45-54","3-5 years","3000-4999","11-20","0-1 years",0
1758,"Yes",33,"Sales","Sales Executive","Female","Single","Travel_Rarely",16,3,"Life Sciences",1,3,3,1,8564,2,"Yes",20,4,3,0,11,2,2,0,0,0,0,"25-34","Under 1 year","7000-9999","11-20","0-1 years",1
1760,"No",38,"Research & Development","Laboratory Technician","Female","Married","Travel_Frequently",2,2,"Medical",3,2,1,2,2468,4,"No",14,3,2,1,9,4,2,6,1,0,5,"35-44","6-10 years","Under 3000","1-5","0-1 years",0
1761,"Yes",31,"Sales","Sales Executive","Male","Married","Travel_Rarely",16,4,"Marketing",1,3,3,3,8161,2,"No",13,3,1,3,10,2,3,1,0,0,0,"25-34","1-2 years","7000-9999","11-20","0-1 years",1
1762,"No",29,"Research & Development","Research Scientist","Female","Divorced","Travel_Rarely",4,3,"Technical Degree",4,2,1,1,2109,1,"No",13,3,3,1,1,2,3,1,0,0,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",0
1763,"No",30,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",16,3,"Life Sciences",3,4,2,3,5294,3,"No",16,3,3,1,10,3,3,7,0,1,7,"25-34","6-10 years","5000-6999","11-20","0-1 years",0
